filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
sample_0.jpg,14674,{},11,0,"{""name"": ""polygon"", ""all_points_x"": [46, 76, 76, 46], ""all_points_y"": [164, 164, 194, 194]}","{""name"": ""hash_0""}"
sample_0.jpg,14674,{},11,1,"{""name"": ""polygon"", ""all_points_x"": [207, 237, 237, 207], ""all_points_y"": [91, 91, 121, 121]}","{""name"": ""hash_1""}"
sample_0.jpg,14674,{},11,2,"{""name"": ""polygon"", ""all_points_x"": [143, 173, 173, 143], ""all_points_y"": [86, 86, 116, 116]}","{""name"": ""hash_3""}"
sample_0.jpg,14674,{},11,3,"{""name"": ""polygon"", ""all_points_x"": [123, 153, 153, 123], ""all_points_y"": [200, 200, 230, 230]}","{""name"": ""hash_6""}"
sample_0.jpg,14674,{},11,4,"{""name"": ""polygon"", ""all_points_x"": [66, 96, 96, 66], ""all_points_y"": [76, 76, 106, 106]}","{""name"": ""hash_8""}"
sample_0.jpg,14674,{},11,5,"{""name"": ""polygon"", ""all_points_x"": [1, 31, 31, 1], ""all_points_y"": [207, 207, 237, 237]}","{""name"": ""hash_0""}"
sample_0.jpg,14674,{},11,6,"{""name"": ""polygon"", ""all_points_x"": [32, 62, 62, 32], ""all_points_y"": [16, 16, 46, 46]}","{""name"": ""hash_4""}"
sample_0.jpg,14674,{},11,7,"{""name"": ""polygon"", ""all_points_x"": [65, 95, 95, 65], ""all_points_y"": [214, 214, 244, 244]}","{""name"": ""hash_7""}"
sample_0.jpg,14674,{},11,8,"{""name"": ""polygon"", ""all_points_x"": [5, 35, 35, 5], ""all_points_y"": [94, 94, 124, 124]}","{""name"": ""hash_9""}"
sample_0.jpg,14674,{},11,9,"{""name"": ""polygon"", ""all_points_x"": [151, 181, 181, 151], ""all_points_y"": [38, 38, 68, 68]}","{""name"": ""hash_2""}"
sample_1.jpg,13350,{},10,0,"{""name"": ""polygon"", ""all_points_x"": [27, 57, 57, 27], ""all_points_y"": [8, 8, 38, 38]}","{""name"": ""hash_0""}"
sample_1.jpg,13350,{},10,1,"{""name"": ""polygon"", ""all_points_x"": [131, 161, 161, 131], ""all_points_y"": [184, 184, 214, 214]}","{""name"": ""hash_2""}"
sample_1.jpg,13350,{},10,2,"{""name"": ""polygon"", ""all_points_x"": [77, 107, 107, 77], ""all_points_y"": [4, 4, 34, 34]}","{""name"": ""hash_3""}"
