filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
sample_0.jpg,42141,{},17,0,"{""name"": ""polygon"", ""all_points_x"": [405, 455, 455, 405], ""all_points_y"": [110, 110, 160, 160]}","{""name"": ""hash_0""}"
sample_0.jpg,42141,{},17,1,"{""name"": ""polygon"", ""all_points_x"": [163, 213, 213, 163], ""all_points_y"": [368, 368, 418, 418]}","{""name"": ""hash_1""}"
sample_0.jpg,42141,{},17,2,"{""name"": ""polygon"", ""all_points_x"": [288, 338, 338, 288], ""all_points_y"": [331, 331, 381, 381]}","{""name"": ""hash_2""}"
sample_0.jpg,42141,{},17,3,"{""name"": ""polygon"", ""all_points_x"": [429, 479, 479, 429], ""all_points_y"": [387, 387, 437, 437]}","{""name"": ""hash_4""}"
sample_0.jpg,42141,{},17,4,"{""name"": ""polygon"", ""all_points_x"": [65, 115, 115, 65], ""all_points_y"": [290, 290, 340, 340]}","{""name"": ""hash_5""}"
sample_0.jpg,42141,{},17,5,"{""name"": ""polygon"", ""all_points_x"": [186, 236, 236, 186], ""all_points_y"": [14, 14, 64, 64]}","{""name"": ""hash_6""}"
sample_0.jpg,42141,{},17,6,"{""name"": ""polygon"", ""all_points_x"": [114, 164, 164, 114], ""all_points_y"": [210, 210, 260, 260]}","{""name"": ""hash_9""}"
sample_0.jpg,42141,{},17,7,"{""name"": ""polygon"", ""all_points_x"": [430, 480, 480, 430], ""all_points_y"": [275, 275, 325, 325]}","{""name"": ""hash_10""}"
sample_0.jpg,42141,{},17,8,"{""name"": ""polygon"", ""all_points_x"": [101, 151, 151, 101], ""all_points_y"": [114, 114, 164, 164]}","{""name"": ""hash_14""}"
sample_0.jpg,42141,{},17,9,"{""name"": ""polygon"", ""all_points_x"": [73, 123, 123, 73], ""all_points_y"": [372, 372, 422, 422]}","{""name"": ""hash_16""}"
sample_0.jpg,42141,{},17,10,"{""name"": ""polygon"", ""all_points_x"": [305, 355, 355, 305], ""all_points_y"": [1, 1, 51, 51]}","{""name"": ""hash_17""}"
sample_0.jpg,42141,{},17,11,"{""name"": ""polygon"", ""all_points_x"": [339, 389, 389, 339], ""all_points_y"": [410, 410, 460, 460]}","{""name"": ""hash_18""}"
sample_0.jpg,42141,{},17,12,"{""name"": ""polygon"", ""all_points_x"": [260, 310, 310, 260], ""all_points_y"": [236, 236, 286, 286]}","{""name"": ""hash_3""}"
sample_0.jpg,42141,{},17,13,"{""name"": ""polygon"", ""all_points_x"": [1, 51, 51, 1], ""all_points_y"": [39, 39, 89, 89]}","{""name"": ""hash_14""}"
sample_0.jpg,42141,{},17,14,"{""name"": ""polygon"", ""all_points_x"": [258, 308, 308, 258], ""all_points_y"": [113, 113, 163, 163]}","{""name"": ""hash_16""}"
sample_0.jpg,42141,{},17,15,"{""name"": ""polygon"", ""all_points_x"": [351, 401, 401, 351], ""all_points_y"": [235, 235, 285, 285]}","{""name"": ""hash_17""}"
sample_1.jpg,48054,{},19,0,"{""name"": ""polygon"", ""all_points_x"": [185, 235, 235, 185], ""all_points_y"": [5, 5, 55, 55]}","{""name"": ""hash_0""}"
sample_1.jpg,48054,{},19,1,"{""name"": ""polygon"", ""all_points_x"": [237, 287, 287, 237], ""all_points_y"": [264, 264, 314, 314]}","{""name"": ""hash_1""}"
sample_1.jpg,48054,{},19,2,"{""name"": ""polygon"", ""all_points_x"": [238, 288, 288, 238], ""all_points_y"": [399, 399, 449, 449]}","{""name"": ""hash_2""}"
